user_activity,environmental_brightness,theme,layout,font_size,likert_sum,binarized_output
STILL,24,light-theme,largeCards,large-font,6,1
STILL,4,light-theme,largeCards,large-font,6,1
STILL,15,light-theme,largeCards,large-font,6,1
STILL,111,light-theme,largeCards,large-font,6,1
STILL,103,light-theme,largeCards,large-font,6,1
STILL,296,dark-theme,xLargeCards,small-font,4,0
STILL,132,dark-theme,xLargeCards,large-font,6,1
STILL,0,dark-theme,largeCards,large-font,5,0
STILL,132,light-theme,xLargeCards,small-font,3,0
STILL,139,light-theme,xLargeCards,large-font,4,0
STILL,139,light-theme,xLargeCards,large-font,6,1
STILL,0,dark-theme,largeCards,large-font,6,1
STILL,0,dark-theme,largeCards,large-font,6,1
STILL,19,light-theme,largeCards,large-font,6,1
STILL,22,light-theme,largeCards,large-font,6,1
STILL,303,light-theme,largeCards,small-font,6,1
STILL,276,light-theme,largeCards,small-font,4,0
STILL,351,light-theme,largeCards,large-font,4,0
STILL,336,light-theme,largeCards,large-font,5,0
STILL,7904,light-theme,xLargeCards,large-font,6,1
ON_FOOT,6487,light-theme,xLargeCards,large-font,6,1
ON_FOOT,9753,light-theme,xLargeCards,small-font,6,1
ON_FOOT,8249,light-theme,xLargeCards,large-font,6,1
ON_FOOT,5588,light-theme,xLargeCards,large-font,6,1
ON_FOOT,9637,light-theme,xLargeCards,large-font,6,1
ON_FOOT,6813,light-theme,xLargeCards,large-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,0,dark-theme,largeCards,small-font,4,0
ON_FOOT,18,light-theme,largeCards,large-font,6,1
STILL,18,light-theme,largeCards,large-font,5,0
ON_FOOT,47,light-theme,largeCards,large-font,6,1
STILL,74,light-theme,largeCards,large-font,6,1
STILL,91,light-theme,largeCards,large-font,6,1
ON_FOOT,78,light-theme,largeCards,large-font,6,1
ON_FOOT,74,light-theme,largeCards,large-font,6,1
STILL,17,dark-theme,xLargeCards,small-font,1,0
STILL,13,dark-theme,largeCards,small-font,3,0
