user_activity,environmental_brightness,theme,layout,font_size,preference,informativness,readability,likert_sum,binarized_output
STILL,790,withImages,light-theme,largeCards,small-font,1,1,1,3,0
ON_FOOT,2443,withImages,light-theme,largeCards,small-font,1,1,1,3,0
STILL,13,withImages,light-theme,xLargeCards,large-font,1,0,1,2,0
STILL,13,withImages,light-theme,xLargeCards,large-font,0,1,-1,0,0
STILL,13,withImages,light-theme,largeCards,large-font,1,1,1,3,0
STILL,10,withImages,light-theme,largeCards,large-font,-1,2,0,1,0
STILL,871,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,923,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,789,withImages,light-theme,xLargeCards,large-font,1,1,1,3,0
STILL,865,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
IN_VEHICLE,13,withImages,light-theme,largeCards,large-font,2,2,2,6,1
IN_VEHICLE,19,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,large-font,1,1,1,3,0
STILL,0,withImages,dark-theme,largeCards,large-font,1,1,2,4,0
STILL,0,withImages,dark-theme,largeCards,large-font,1,1,2,4,0
ON_FOOT,0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
ON_FOOT,0,withImages,dark-theme,xLargeCards,small-font,2,2,2,6,1
STILL,13,withImages,dark-theme,largeCards,large-font,2,1,1,4,0
STILL,13,withImages,dark-theme,largeCards,large-font,2,2,1,5,0
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
ON_FOOT,136,withImages,dark-theme,xLargeCards,small-font,2,2,2,6,1
ON_FOOT,107,withImages,light-theme,largeCards,small-font,2,2,2,6,1
ON_FOOT,93,withImages,light-theme,largeCards,small-font,1,1,1,3,0
STILL,0,withImages,light-theme,xLargeCards,small-font,2,2,1,5,0
STILL,0,withImages,light-theme,xLargeCards,small-font,2,2,1,5,0
STILL,0,withImages,light-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,light-theme,largeCards,small-font,0,1,2,3,0
STILL,117,withImages,light-theme,xLargeCards,small-font,2,1,0,3,0
STILL,19,withImages,light-theme,xLargeCards,small-font,1,0,1,2,0
ON_FOOT,0,withImages,light-theme,largeCards,large-font,1,1,2,4,0
STILL,87,withImages,light-theme,xLargeCards,large-font,1,2,1,4,0
STILL,61,withImages,light-theme,xLargeCards,large-font,2,1,0,3,0
STILL,17,withImages,light-theme,largeCards,small-font,2,2,1,5,0
ON_FOOT,20,withImages,light-theme,largeCards,small-font,1,2,1,4,0
STILL,2,withImages,light-theme,largeCards,small-font,1,1,2,4,0
STILL,1,withImages,light-theme,largeCards,small-font,2,1,2,5,0
STILL,1,withImages,light-theme,largeCards,small-font,1,2,2,5,0
ON_FOOT,221,withImages,light-theme,largeCards,small-font,1,1,1,3,0
ON_FOOT,174,withImages,light-theme,largeCards,small-font,1,1,1,3,0
STILL,0,withImages,light-theme,xLargeCards,small-font,2,1,1,4,0
ON_FOOT,93,withImages,dark-theme,largeCards,large-font,1,1,1,3,0
ON_FOOT,26,withImages,light-theme,largeCards,small-font,1,1,2,4,0
ON_FOOT,0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
ON_FOOT,0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
ON_FOOT,64,withImages,dark-theme,xLargeCards,small-font,1,1,1,3,0
STILL,0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
STILL,57,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
ON_FOOT,11,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,17,withImages,dark-theme,xLargeCards,small-font,1,0,2,3,0
STILL,17,withImages,dark-theme,xLargeCards,small-font,1,2,0,3,0
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,103,withImages,light-theme,largeCards,large-font,2,2,1,5,0
STILL,88,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,93,withImages,light-theme,largeCards,small-font,2,2,1,5,0
STILL,137,withImages,light-theme,largeCards,large-font,1,0,2,3,0
STILL,33,withImages,light-theme,largeCards,large-font,2,2,1,5,0
STILL,38,withImages,light-theme,largeCards,large-font,1,2,1,4,0
STILL,35,withImages,light-theme,largeCards,large-font,1,2,2,5,0
ON_FOOT,270,withImages,dark-theme,largeCards,small-font,2,0,0,2,0
STILL,84,withImages,light-theme,largeCards,large-font,1,1,2,4,0
STILL,90,withImages,dark-theme,xLargeCards,large-font,2,1,2,5,0
STILL,91,withImages,light-theme,xLargeCards,large-font,1,1,1,3,0
STILL,73,withImages,light-theme,xLargeCards,small-font,1,2,1,4,0
STILL,71,withImages,dark-theme,xLargeCards,small-font,0,1,2,3,0
STILL,71,withImages,dark-theme,xLargeCards,large-font,1,2,1,4,0
STILL,73,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
STILL,142,withImages,light-theme,xLargeCards,large-font,2,1,2,5,0
STILL,141,withImages,light-theme,xLargeCards,large-font,0,1,0,1,0
STILL,27,withImages,dark-theme,largeCards,large-font,1,1,1,3,0
STILL,25,withImages,light-theme,largeCards,small-font,1,2,2,5,0
STILL,0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,167,withImages,dark-theme,xLargeCards,large-font,1,1,1,3,0
STILL,167,withImages,light-theme,xLargeCards,large-font,1,1,1,3,0
STILL,167,withImages,dark-theme,xLargeCards,large-font,0,0,0,0,0
STILL,167,withImages,light-theme,xLargeCards,large-font,1,2,1,4,0
STILL,167,withImages,light-theme,xLargeCards,small-font,1,2,1,4,0
STILL,148,withImages,dark-theme,xLargeCards,small-font,2,1,2,5,0
STILL,4,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,16,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,4,withImages,dark-theme,xLargeCards,large-font,1,1,2,4,0
IN_VEHICLE,384,withImages,dark-theme,largeCards,large-font,-2,-2,-2,-6,0
ON_FOOT,192,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2,-6,0
ON_FOOT,384,withImages,dark-theme,xLargeCards,large-font,-2,-2,-2,-6,0
STILL,470,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,192,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2,-6,0
STILL,437,withImages,dark-theme,xLargeCards,large-font,-2,-2,-2,-6,0
IN_VEHICLE,206,withImages,dark-theme,xLargeCards,large-font,-2,-2,-2,-6,0
ON_FOOT,199,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2,-6,0
IN_VEHICLE,809,withImages,dark-theme,xLargeCards,large-font,-1,-1,-1,-3,0
IN_VEHICLE,159,withImages,dark-theme,largeCards,large-font,-2,-2,-2,-6,0
IN_VEHICLE,855,withImages,dark-theme,largeCards,small-font,-2,-2,-2,-6,0
IN_VEHICLE,650,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2,-6,0
IN_VEHICLE,782,withImages,dark-theme,largeCards,small-font,2,1,2,5,0
IN_VEHICLE,616,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2,-6,0
IN_VEHICLE,132,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2,-6,0
IN_VEHICLE,119,withImages,dark-theme,xLargeCards,large-font,-2,-2,-2,-6,0
IN_VEHICLE,146,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2,-6,0
IN_VEHICLE,146,withImages,dark-theme,xLargeCards,large-font,-2,-2,-2,-6,0
IN_VEHICLE,683,withImages,dark-theme,xLargeCards,small-font,-1,-2,-1,-4,0
IN_VEHICLE,212,withImages,light-theme,xLargeCards,large-font,-2,-2,-2,-6,0
IN_VEHICLE,603,withImages,dark-theme,xLargeCards,large-font,-2,-2,-2,-6,0
IN_VEHICLE,126,withImages,dark-theme,largeCards,small-font,-2,-2,-2,-6,0
STILL,11,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,11,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,3,withImages,light-theme,xLargeCards,large-font,1,1,1,3,0
STILL,5,withImages,light-theme,xLargeCards,large-font,1,1,1,3,0
STILL,12,withImages,light-theme,largeCards,small-font,2,2,2,6,1
STILL,14,withImages,light-theme,largeCards,small-font,2,2,2,6,1
STILL,142,withImages,dark-theme,xLargeCards,large-font,1,1,1,3,0
